Datetime,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count,hour,dayofweek,is_weekend,occupancy_lag_1h,occupancy_lag_2h,occupancy_lag_24h,occupancy_rolling_mean_2h
2017-12-23 11:00:00,25.19,25.179655172413796,24.855862068965514,25.762758620689656,12.206896551724139,13.758620689655173,56.89655172413793,40.275862068965516,0.08241379310344828,0.054137931034482764,0.06482758620689656,0.05931034482758621,357.7586206896552,-0.07135278514593965,0.0,0.0,0,11,5,1,0.0,0.0,1.0,0.0
2017-12-23 11:15:00,25.19,25.19,24.908,25.817666666666664,13.633333333333333,15.066666666666666,62.0,43.666666666666664,0.08533333333333333,0.056666666666666664,0.06899999999999999,0.06199999999999999,359.0,0.05487179487182,0.0,0.0,0,11,5,1,0.0,0.0,1.0,0.0
2017-12-23 11:30:00,25.196206896551725,25.192068965517244,24.948275862068964,25.827241379310344,14.0,15.827586206896552,64.13793103448276,45.37931034482759,0.07999999999999999,0.05241379310344828,0.06275862068965518,0.06103448275862069,359.13793103448273,-0.0018567639257313783,0.0,0.0,0,11,5,1,0.0,0.0,2.0,0.0
2017-12-23 11:45:00,25.314137931034484,25.25,24.99586206896552,25.843793103448274,94.27586206896552,30.75862068965517,65.17241379310344,46.51724137931034,0.42344827586206896,0.16551724137931034,0.17034482758620692,0.10172413793103449,359.6551724137931,0.026790450928360344,0.3448275862068966,0.13793103448275862,1,11,5,1,0.0,0.0,2.0,0.0
2017-12-23 12:00:00,25.46896551724138,25.295517241379308,25.061034482758622,25.886206896551723,123.27586206896552,36.827586206896555,68.13793103448276,48.86206896551724,0.5606896551724138,0.20655172413793105,0.21965517241379312,0.1217241379310345,364.48275862068965,0.18461538461538965,0.41379310344827586,0.0,1,12,5,1,0.0,0.0,2.0,0.125
2017-12-23 12:15:00,25.57793103448276,25.31,25.1151724137931,25.929655172413796,123.3103448275862,37.44827586206897,69.55172413793103,50.10344827586207,0.7058620689655172,0.24517241379310345,0.18586206896551724,0.1382758620689655,371.2068965517241,0.19734748010608621,0.5517241379310345,0.0,1,12,5,1,0.0,0.0,2.0,0.25
2017-12-23 12:30:00,25.65896551724138,25.38,25.17551724137931,25.983448275862067,123.51724137931035,38.51724137931034,71.17241379310344,51.310344827586206,0.5486206896551724,0.17275862068965517,0.1482758620689655,0.11241379310344829,377.9310344827586,0.2705570291777931,0.27586206896551724,0.0,1,12,5,1,0.0,0.0,2.0,0.375
2017-12-23 12:45:00,25.728571428571428,25.508928571428573,25.21357142857143,26.037499999999998,145.78571428571428,183.92857142857142,74.10714285714286,54.42857142857143,0.8832142857142857,0.9935714285714285,0.3075,0.24857142857142858,384.2857142857143,0.22362637362637858,0.5714285714285714,0.5,2,12,5,1,1.0,0.0,3.0,0.5
2017-12-23 13:00:00,25.841379310344827,25.727241379310346,25.285862068965518,26.166551724137932,159.6551724137931,248.79310344827587,77.6896551724138,57.724137931034484,0.5262068965517241,0.9420689655172414,0.24275862068965517,0.18724137931034482,415.3448275862069,1.1805039787795173,0.6551724137931034,0.20689655172413793,2,13,5,1,1.0,0.0,3.0,0.75
2017-12-23 13:15:00,25.9,25.884,25.354333333333333,26.224,160.4,249.53333333333333,79.0,58.766666666666666,0.6046666666666667,0.7636666666666667,0.2786666666666667,0.20666666666666667,480.6666666666667,2.40423076923085,0.43333333333333335,0.23333333333333334,2,13,5,1,1.0,0.0,3.0,1.0
